"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Thailand",1962,15115.0,"K",,1967,12986.0,"K",,1972,11215.0,"K",,1977,9860.0,"K",,1982,8874.0,"K",,1987,8067.0,"K",,1992,7533.0,"K",,1997,7198.0,"K",,2002,6785.0,"K",,2007,6469.0,"K",,2012,6275.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","The former Yugoslav Republic of Macedonia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,3309.0,"K",,1997,3227.0,"K",,2002,3165.0,"K",,2007,3125.0,"K",,2012,3096.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Timor-Leste",1962,15859.0,"K",,1967,14463.0,"K",,1972,12876.0,"K",,1977,12998.0,"K",,1982,13760.0,"K",,1987,11871.0,"K",,1992,10333.0,"K",,1997,9757.0,"K",,2002,9251.0,"K",,2007,7743.0,"K",,2012,6921.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Togo",1962,9142.0,"K",,1967,7976.0,"K",,1972,6607.0,"K",,1977,5927.0,"K",,1982,5165.0,"K",,1987,4358.0,"K",,1992,3845.0,"K",,1997,3380.0,"K",,2002,2910.0,"K",,2007,2600.0,"K",,2012,2340.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Tokelau",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Tonga",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Trinidad and Tobago",1962,4429.0,"K",,1967,4160.0,"K",,1972,3895.0,"K",,1977,3721.0,"K",,1982,3438.0,"K",,1987,3216.0,"K",,1992,3112.0,"K",,1997,3012.0,"K",,2002,2949.0,"K",,2007,2896.0,"K",,2012,2842.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Tunisia",1962,1050.0,"K",,1967,952.9,"K",,1972,862.6,"K",,1977,771.2,"K",,1982,675.6,"K",,1987,597.4,"K",,1992,538.8,"K",,1997,501.5,"K",,2002,477.0,"K",,2007,453.6,"K",,2012,429.2,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Turkey",1962,7140.0,"K",,1967,6360.0,"K",,1972,5711.0,"K",,1977,5122.0,"K",,1982,4580.0,"K",,1987,4121.0,"K",,1992,3778.0,"K",,1997,3481.0,"K",,2002,3233.0,"K",,2007,3023.0,"K",,2012,2840.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Turkmenistan",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,6381.0,"K",,1997,5713.0,"K",,2002,5385.0,"K",,2007,5098.0,"K",,2012,4791.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Tuvalu",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Uganda",1962,9115.0,"K",,1967,7696.0,"K",,1972,6592.0,"K",,1977,5708.0,"K",,1982,4908.0,"K",,1987,4153.0,"K",,1992,3485.0,"K",,1997,2983.0,"K",,2002,2559.0,"K",,2007,2175.0,"K",,2012,1853.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Ukraine",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,2703.0,"K",,1997,2773.0,"K",,2002,2906.0,"K",,2007,3016.0,"K",,2012,3106.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","United Arab Emirates",1962,1376.0,"K",,1967,898.2,"K",,1972,464.4,"K",,1977,206.9,"K",,1982,129.6,"K",,1987,98.88,"K",,1992,74.48,"K",,1997,57.43,"K",,2002,46.08,"K",,2007,27.75,"K",,2012,18.5,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","United Kingdom",1962,2752.0,"K",,1967,2667.0,"K",,1972,2618.0,"K",,1977,2603.0,"K",,1982,2600.0,"K",,1987,2581.0,"K",,1992,2546.0,"K",,1997,2511.0,"K",,2002,2468.0,"K",,2007,2405.0,"K",,2012,2332.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","United Republic of Tanzania",1962,9011.0,"K",,1967,7761.0,"K",,1972,6637.0,"K",,1977,5657.0,"K",,1982,4838.0,"K",,1987,4147.0,"K",,1992,3535.0,"K",,1997,3047.0,"K",,2002,2687.0,"K",,2007,2344.0,"K",,2012,2020.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","United States of America",1962,15988.0,"K",,1967,15065.0,"K",,1972,14392.0,"K",,1977,13745.0,"K",,1982,13101.0,"K",,1987,12480.0,"K",,1992,11883.0,"K",,1997,11256.0,"K",,2002,10639.0,"K",,2007,10153.0,"K",,2012,9718.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Uruguay",1962,53400.0,"K",,1967,50564.0,"K",,1972,49273.0,"K",,1977,48669.0,"K",,1982,47071.0,"K",,1987,45589.0,"K",,1992,44071.0,"K",,1997,42521.0,"K",,2002,41805.0,"K",,2007,41667.0,"K",,2012,40991.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Uzbekistan",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,2273.0,"K",,1997,2058.0,"K",,2002,1934.0,"K",,2007,1844.0,"K",,2012,1741.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Vanuatu",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Venezuela (Bolivarian Republic of)",1962,151270.0,"K",,1967,127297.0,"K",,1972,107893.0,"K",,1977,90608.0,"K",,1982,77387.0,"K",,1987,67662.0,"K",,1992,59753.0,"K",,1997,53697.0,"K",,2002,48787.0,"K",,2007,44685.0,"K",,2012,41250.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Viet Nam",1962,23910.0,"K",,1967,21108.0,"K",,1972,18813.0,"K",,1977,17170.0,"K",,1982,15699.0,"K",,1987,14036.0,"K",,1992,12632.0,"K",,1997,11616.0,"K",,2002,10982.0,"K",,2007,10400.0,"K",,2012,9853.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Yemen",1962,395.0,"K",,1967,359.4,"K",,1972,332.1,"K",,1977,295.6,"K",,1982,243.6,"K",,1987,199.1,"K",,1992,159.2,"K",,1997,129.4,"K",,2002,111.5,"K",,2007,95.69,"K",,2012,82.13,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Zambia",1962,32580.0,"K",,1967,27964.0,"K",,1972,23769.0,"K",,1977,20092.0,"K",,1982,17061.0,"K",,1987,14583.0,"K",,1992,12718.0,"K",,1997,11170.0,"K",,2002,9838.0,"K",,2007,8727.0,"K",,2012,7577.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Zimbabwe",1962,4993.0,"K",,1967,4238.0,"K",,1972,3589.0,"K",,1977,3039.0,"K",,1982,2540.0,"K",,1987,2100.0,"K",,1992,1817.0,"K",,1997,1655.0,"K",,2002,1586.0,"K",,2007,1602.0,"K",,2012,1537.0,"K",,,,"",



E - External data
I - AQUASTAT estimate
K - Aggregate data
L - Modelled data
(c) 2014 FAO of the UN
The information contained in AQUASTAT is provided free of charge to all users. Please quote as follows:
FAO. 2013. AQUASTAT database - Food and Agriculture Organization of the United Nations (FAO). Website accessed on[26/04/2014 16:27]
