"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Cameroon",1962,50549.0,"K",,1967,44996.0,"K",,1972,39598.0,"K",,1977,34311.0,"K",,1982,29579.0,"K",,1987,25585.0,"K",,1992,22161.0,"K",,1997,19512.0,"K",,2002,17400.0,"K",,2007,15559.0,"K",,2012,13948.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Canada",1962,155762.0,"K",,1967,141547.0,"K",,1972,129878.0,"K",,1977,122473.0,"K",,1982,116006.0,"K",,1987,109283.0,"K",,1992,102233.0,"K",,1997,97219.0,"K",,2002,92769.0,"K",,2007,88001.0,"K",,2012,83691.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Cape Verde",1962,1357.0,"K",,1967,1186.0,"K",,1972,1027.0,"K",,1977,974.0,"K",,1982,974.0,"K",,1987,892.9,"K",,1992,821.9,"K",,1997,726.4,"K",,2002,662.3,"K",,2007,621.1,"K",,2012,594.1,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Central African Republic",1962,92742.0,"K",,1967,84002.0,"K",,1972,75960.0,"K",,1977,68501.0,"K",,1982,59892.0,"K",,1987,52509.0,"K",,1992,46807.0,"K",,1997,41447.0,"K",,2002,37712.0,"K",,2007,34703.0,"K",,2012,31556.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Chad",1962,13947.0,"K",,1967,12544.0,"K",,1972,11213.0,"K",,1977,10033.0,"K",,1982,9024.0,"K",,1987,7861.0,"K",,1992,6731.0,"K",,1997,5773.0,"K",,2002,4869.0,"K",,2007,4146.0,"K",,2012,3635.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Chile",1962,114534.0,"K",,1967,102025.0,"K",,1972,92887.0,"K",,1977,86007.0,"K",,1982,79986.0,"K",,1987,73648.0,"K",,1992,67408.0,"K",,1997,62129.0,"K",,2002,58414.0,"K",,2007,55432.0,"K",,2012,52919.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","China",1962,4113.0,"K",,1967,3712.0,"K",,1972,3237.0,"K",,1977,2939.0,"K",,1982,2745.0,"K",,1987,2541.0,"K",,1992,2362.0,"K",,1997,2243.0,"K",,2002,2159.0,"K",,2007,2101.0,"K",,2012,2051.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Colombia",1962,125523.0,"K",,1967,108427.0,"K",,1972,95255.0,"K",,1977,84974.0,"K",,1982,75861.0,"K",,1987,68178.0,"K",,1992,61802.0,"K",,1997,56439.0,"K",,2002,51901.0,"K",,2007,48070.0,"K",,2012,44836.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Comoros",1962,6000.0,"K",,1967,5405.0,"K",,1972,4819.0,"K",,1977,4110.0,"K",,1982,3409.0,"K",,1987,2948.0,"K",,1992,2609.0,"K",,1997,2308.0,"K",,2002,2024.0,"K",,2007,1767.0,"K",,2012,1552.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Congo",1962,779026.0,"K",,1967,679739.0,"K",,1972,586328.0,"K",,1977,504548.0,"K",,1982,436287.0,"K",,1987,378010.0,"K",,1992,330159.0,"K",,1997,287790.0,"K",,2002,252964.0,"K",,2007,222997.0,"K",,2012,196551.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Cook Islands",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Costa Rica",1962,78546.0,"K",,1967,66905.0,"K",,1972,58879.0,"K",,1977,52085.0,"K",,1982,45359.0,"K",,1987,39564.0,"K",,1992,34853.0,"K",,1997,30811.0,"K",,2002,27529.0,"K",,2007,25241.0,"K",,2012,23446.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Côte d'Ivoire",1962,20662.0,"K",,1967,16943.0,"K",,1972,13729.0,"K",,1977,10937.0,"K",,1982,8742.0,"K",,1987,7184.0,"K",,1992,6063.0,"K",,1997,5238.0,"K",,2002,4723.0,"K",,2007,4351.0,"K",,2012,3940.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Croatia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,22995.0,"K",,1997,22811.0,"K",,2002,23623.0,"K",,2007,23836.0,"K",,2012,24048.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Cuba",1962,5122.0,"K",,1967,4619.0,"K",,1972,4230.0,"K",,1977,3965.0,"K",,1982,3848.0,"K",,1987,3716.0,"K",,1992,3554.0,"K",,1997,3468.0,"K",,2002,3411.0,"K",,2007,3383.0,"K",,2012,3389.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Cyprus",1962,1349.0,"K",,1967,1320.0,"K",,1972,1242.0,"K",,1977,1171.0,"K",,1982,1127.0,"K",,1987,1079.0,"K",,1992,973.8,"K",,1997,875.4,"K",,2002,795.9,"K",,2007,733.8,"K",,2012,690.9,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Czech Republic",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1997,1277.0,"K",,2002,1288.0,"K",,2007,1275.0,"K",,2012,1245.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Democratic People's Republic of Korea",1962,6722.0,"K",,1967,5913.0,"K",,1972,5131.0,"K",,1977,4655.0,"K",,1982,4334.0,"K",,1987,4001.0,"K",,1992,3708.0,"K",,1997,3463.0,"K",,2002,3316.0,"K",,2007,3213.0,"K",,2012,3142.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Democratic Republic of the Congo",1962,79291.0,"K",,1967,69056.0,"K",,1972,59867.0,"K",,1977,51859.0,"K",,1982,44937.0,"K",,1987,38965.0,"K",,1992,32527.0,"K",,1997,27669.0,"K",,2002,24442.0,"K",,2007,21112.0,"K",,2012,18441.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Denmark",1962,1291.0,"K",,1967,1242.0,"K",,1972,1203.0,"K",,1977,1178.0,"K",,1982,1171.0,"K",,1987,1173.0,"K",,1992,1160.0,"K",,1997,1137.0,"K",,2002,1117.0,"K",,2007,1097.0,"K",,2012,1073.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Djibouti",1962,3125.0,"K",,1967,2256.0,"K",,1972,1648.0,"K",,1977,1111.0,"K",,1982,824.2,"K",,1987,646.6,"K",,1992,505.1,"K",,1997,450.5,"K",,2002,392.2,"K",,2007,357.6,"K",,2012,325.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Dominica",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Dominican Republic",1962,5939.0,"K",,1967,5075.0,"K",,1972,4408.0,"K",,1977,3887.0,"K",,1982,3462.0,"K",,1987,3104.0,"K",,1992,2805.0,"K",,1997,2564.0,"K",,2002,2370.0,"K",,2007,2203.0,"K",,2012,2062.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Ecuador",1962,90164.0,"K",,1967,77686.0,"K",,1972,67014.0,"K",,1977,58018.0,"K",,1982,50506.0,"K",,1987,44403.0,"K",,1992,39571.0,"K",,1997,36046.0,"K",,2002,33242.0,"K",,2007,30643.0,"K",,2012,28550.0,"K",,,,"",
"Total renewable water resources per capita (actual) (m3/inhab/yr)","Egypt",1962,1982.0,"K",,1967,1745.0,"K",,1972,1551.0,"K",,1977,1389.0,"K",,1982,1237.0,"K",,1987,1097.0,"K",,1992,988.1,"K",,1997,908.1,"K",,2002,830.8,"K",,2007,757.7,"K",,2012,694.4,"K",,,,"",
