name,CountryCode,id,lat,lon,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Burkina Faso,233,854,13,-2,2282,6422,7806,8511,7224,15666,16770,31623,35836,23243,27836,31951,26253,30247,50168,54691,37646,59347,75715,61315,56628,74817,77855,87240,114353,165970,146510,144389,150367,187476,182261,170443,111000,171594,142000,192500,339674,321311,254000,210000,329000,400000,413000,495000,620386,656300,337100,581000,448000,518000,424000,646000
Burundi,29,108,-3.5,30,8670,4698,4577,6361,6034,5270,7690,7547,7358,8783,8522,5094,4524,4454,3815,3008,5042,6087,5587,5552,6526,5672,4686,6441,7019,7894,7871,7459,7071,5387,7107,5265,8688,4818,4541,2566,2352,3241,2641,2302,3100,2941,3175,4700,4505,4515,4100,2733,2461,2402,2663,2315
Cabo Verde,35,132,16.0020820,-24.0131970,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Cambodia,115,116,13,105,27500,3600,3600,5400,6000,5400,7908,8100,6900,2100,150,150,150,90,90,1950,4996,3496,360,300,600,600,300,600,900,3000,1500,300,300,300,300,300,395,228,211,250,249,255,260,260,260,260,259,260,260,260,260,260,260,260,260,260
Cameroon,32,120,6,12,23650,39000,42800,41100,53900,52500,46200,64000,86160,65000,40725,42660,26300,37800,48200,46200,39365,57600,80000,83200,79800,72400,94600,82230,106000,121300,113700,165000,106912,108426,110620,119296,117448,152510,149604,165000,148067,155093,154730,190000,201819,195896,179160,171000,312000,274000,266649,172968,136000,186700,204000,255500
Canada,33,124,60,-95,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Cayman Islands,36,132,16,-24,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Central African Republic,37,140,7,21,27300,32700,27100,28800,24200,39800,48600,58000,59100,51800,44700,50000,44400,46300,33100,40500,28000,32000,33600,28400,22800,38000,35000,41000,52314,34400,26850,27400,26500,37200,21492,23880,15966,27048,31945,39979,45350,38026,20820,21785,24487,11500,880,1250,1250,3080,2994,2120,6811,9939,9952,19062
Chad,39,148,15,19,46467,93995,103983,97643,85549,121152,100548,146590,114232,93052,106281,101356,110956,141160,169606,139996,118402,130144,86073,80200,67200,101800,157900,95426,98504,89142,124898,136559,149938,158207,171886,113900,97114,141194,151200,206174,249322,149751,173000,153000,180000,184000,129000,209647,208000,118550,96400,97400,52000,51500,73500,110000
Chile,40,152,-30,-71,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
"China, Hong Kong SAR",96,,22.3964280,114.1094970,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
"China, Macao SAR",128,,22.1987450,113.5438730,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
"China, Taiwan Province of",214,158,23.6978100,121,1387,2030,2316,2825,2266,1763,1731,2082,1632,2688,1539,1309,1212,881,242,184,204,308,165,223,126,102,6,5,85,84,27,45,8,5,5,1,1,1,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
"China, mainland",41,,35,105,2400000,2250000,3600000,4988100,6294000,7011000,7062000,7062000,6237000,6831000,6315000,5874000,7686000,7383000,7143000,6165000,6148000,6502000,6621000,8121000,8904000,10794000,13911000,18774000,12441000,10620000,12735000,12447000,11364000,13523214,17025000,13524000,11217000,13023000,14304000,12609489,13809000,13503029,11487000,13251000,15970510,14748219,14579127,18970530,17114000,20238000,22871597,22475881,19131000,17910000,19766877,20520000
China,351,156,35,105,2400000,2250000,3600000,4988100,6294000,7011000,7062000,7062000,6237000,6831000,6315000,5874000,7686000,7383000,7143000,6165000,6148000,6502000,6621000,8121000,8904000,10794000,13911000,18774000,12441000,10620000,12735000,12447000,11364000,13523214,17025000,13524000,11217000,13023000,14304000,12609489,13809000,13503029,11487000,13251000,15970510,14748219,14579127,18970530,17114000,20238000,22871597,22475881,19131000,17910000,19766877,20520000
Colombia,44,170,4,-72,208500,224300,198600,180300,179000,200500,254900,321000,338500,341600,300500,390600,314600,395100,373800,377100,438200,296800,255400,332000,321000,135000,115000,224582,303445,303690,295315,334619,282720,301604,397958,294326,177165,141092,144000,181000,103000,95600,101730,103500,109000,89000,85009,136928,114959,88914,97037,60600,63429,82717,82378,76780
Comoros,45,174,-12.1667,44.25,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Congo,46,178,-1,15,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Cook Islands,47,184,-21.2333,-159.7667,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Costa Rica,48,188,10,-84,3326,4124,4729,8966,13241,11040,12645,9393,3965,785,850,346,1456,1654,564,5175,21066,8166,11214,11700,14736,4873,3520,3401,3362,1695,1262,3060,733,695,379,360,264,270,310,290,250,270,255,245,310,220,235,230,560,560,823,1153,494,560,590,607
Croatia,98,191,45.1667,41774,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Cuba,49,192,21.5217570,-77.7811670,14100,10800,10659,2650,2453,1401,3020,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Cyprus,50,196,35,33,422,457,477,142,426,336,549,396,711,203,254,102,10,    ,    ,20,20,30,25,15,10,5,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Czech Republic,167,203,49.75,41774,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Czechoslovakia,51,200,13.802053,37.324219,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Côte d Ivoire,107,384,8,-5,5512,8148,12042,8940,10313,13251,24136,34218,42985,31903,29253,46946,52066,57109,59441,63641,73443,99678,111994,138859,131852,132279,152789,137779,204961,182769,207859,249393,282963,235645,251180,187091,229278,248975,206757,209017,256835,326160,356224,397150,284518,387010,391979,178839,319640,266475,253447,118079,123000,173230,246503,252016
Democratic People s Republic of Korea,116,408,40,127,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9900,10500,11400,12000,15000,18000,22200,24000,25200,27000,28500,30999,33000,35000,30000,33000,29700,33500,28498,35001,38000,36000,36204,36000,34970,35484,40102,39450,33543,31360,31700,39500
Democratic Republic of the Congo,250,180,0,25,63986,38484,42391,39809,18500,19587,24220,45000,60000,69200,58400,59900,69500,57700,53600,51800,48700,45750,18260,28868,20000,68451,76112,74000,59000,53000,44000,29700,33500,29660,30280,27190,27200,27150,26600,26551,26842,27234,27272,27133,27216,26820,26444,24750,25070,25200,25275,25410,25300,20971,21641,22940
Denmark,54,208,56,10,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Djibouti,72,262,11.8251380,42.5902750,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Dominica,55,212,15.4167,-61.3333,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Dominican Republic,56,214,19,-70.6667,6881,7320,9261,4856,5029,3017,915,1756,2998,4041,3232,3168,3037,1900,2679,3164,3976,3060,4050,5600,6700,6300,6690,6050,5750,5400,7100,7600,8100,7500,6700,3800,3200,2142,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Ecuador,58,218,-2,-77.5,10036,10803,9180,14157,18450,17627,15765,13800,22140,7550,10666,11500,19540,41500,29789,25459,26260,26306,24409,38600,40201,24030,3980,7340,17386,30250,19056,22694,32299,36448,29603,31028,19453,12465,14683,15209,13683,8932,9052,8363,6893,3388,1070,3207,3279,3331,3401,3632,3642,3550,3650,3730
Egypt,59,818,27,30,994098,1314740,1299553,1415935,1481700,1275093,1195025,1195133,1462210,1392560,1409440,1408840,1352320,1194000,1034000,1073353,1088551,1180346,1275557,1386234,1302000,1198408,1055000,1035000,1156000,1092000,949000,854000,794000,806712,782055,941058,1064581,665569,621545,905707,902030,614893,600716,553532,824820,669210,522910,738289,537000,546000,542800,298270,239717,324437,399450,285000
El Salvador,60,222,13.8333,-88.9167,116746,160072,191965,196264,213992,138778,103788,93282,119379,121696,146632,179035,182140,199453,199506,158280,183443,212848,184084,171193,111992,103206,100679,72687,73878,44401,26028,23923,22284,12468,9072,8887,8931,2564,3900,180,    ,3150,3150,2750,445,460,193,4268,3457,790,42,150,63,150,433,666
Equatorial Guinea,61,226,2,10,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Eritrea,178,232,15,39,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Estonia,63,233,59,26,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Ethiopia PDR,62,230,8,38,6200,11000,6800,7500,10200,24700,31300,35200,41100,48700,30140,34650,39890,45130,45050,59310,61855,54000,54000,81000,81000,81000,60000,60000,66000,60000,60000,63000,54000,57000,36000,30000,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Ethiopia,238,231,8,38,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,40000,40800,44000,45000,45000,45000,44000,44000,40000,57000,57000,63000,60000,88000,90000,80000,67000,55000,60000,80000
Falkland Islands (Malvinas),65,238,-51.75,-59,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Faroe Islands,64,234,62,-7,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
