name,CountryCode,id,lat,lon,1961 green,1962 green,1963 green,1964 green,1965 green,1966 green,1967 green,1968 green,1969 green,1970 green,1971 green,1972 green,1973 green,1974 green,1975 green,1976 green,1977 green,1978 green,1979 green,1980 green,1981 green,1982 green,1983 green,1984 green,1985 green,1986 green,1987 green,1988 green,1989 green,1990 green,1991 green,1992 green,1993 green,1994 green,1995 green,1996 green,1997 green,1998 green,1999 green,2000 green,2001 green,2002 green,2003 green,2004 green,2005 green,2006 green,2007 green,2008 green,2009 green,2010 green,2011 green,2012 green,1961 blue,1962 blue,1963 blue,1964 blue,1965 blue,1966 blue,1967 blue,1968 blue,1969 blue,1970 blue,1971 blue,1972 blue,1973 blue,1974 blue,1975 blue,1976 blue,1977 blue,1978 blue,1979 blue,1980 blue,1981 blue,1982 blue,1983 blue,1984 blue,1985 blue,1986 blue,1987 blue,1988 blue,1989 blue,1990 blue,1991 blue,1992 blue,1993 blue,1994 blue,1995 blue,1996 blue,1997 blue,1998 blue,1999 blue,2000 blue,2001 blue,2002 blue,2003 blue,2004 blue,2005 blue,2006 blue,2007 blue,2008 blue,2009 blue,2010 blue,2011 blue,2012 blue
Bhutan,18,64,27.5141620,90.4336010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia (Plurinational State of),19,68,-17,-65,18442,18442,24589,30737,36884,55326,49179,67600,80942,95940,178364,280990,693096,500086,402179,225311,282514,323986,277909,122880,117736,71827,58869,43552,85965,72281,39792,66318,22747,38782,153797,174766,152534,194136,298973,467717,407437,338826,292835,264988,468535,369284,408575,496329,504928,500781,505921,486395,538441,551394,554090,540255,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,80,70,44,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,20,72,-22,24,5423,4348,4348,10912,10865,8819,4638,4410,5551,2446,5981,4893,5182,5182,5182,5182,5182,5182,5182,5182,5182,5182,5182,5182,5182,5182,5182,5182,5182,4497,3708,2567,2355,2618,2509,2991,4237,3903,4037,4971,6460,4237,3716,3997,4176,3690,2881,3382,2392,2155,1627,1630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,21,76,-10,-55,2702100,3461645,3115480,3219669,2873504,3461645,3567747,4215335,4449742,4120742,4538149,4046243,4792420,4129425,3685200,2660662,4019389,3320931,3461475,3544657,3660113,4080402,3380484,3726073,6045950,4896389,3538202,5363206,3947342,4049970,4382697,3973973,2394980,2881161,3059704,2012076,1731717,2472437,2979750,4238075,5571619,4557766,4641531,8013947,7733312,6112393,8666294,8397211,6108502,6218766,10689919,10464831,21773,27893,25104,25943,23154,27893,28748,33966,35855,33204,36567,32603,38616,33274,29694,21439,32387,26759,27892,28562,29492,32879,27239,30024,48717,39454,28510,43215,31807,32634,35315,32021,19298,23216,24654,16213,13954,19922,24010,34149,44895,36725,37400,64574,62313,49252,69831,67662,49221,50109,86136,84323
British Virgin Islands,239,92,18.4206950,-64.6399680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,26,96,4.5352770,114.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,27,100,43,25,88016,208705,166445,180604,160143,288683,233986,127260,166260,147607,166193,202786,155643,153025,129607,13603,53709,65292,71855,48191,52232,82289,69928,59542,57921,74351,81081,53202,52661,32376,73502,35226,20484,27648,57207,48039,36355,29076,37435,24818,37721,27873,17075,10423,5118,4296,3381,2818,1967,3498,1695,1021,16631,39435,31450,34125,30259,54547,44212,24046,31415,27890,31402,38316,29409,28914,24489,2570,10148,12337,13577,9106,9869,15548,13213,11251,10944,14049,15320,10053,9950,6118,13888,6656,3870,5224,10809,9077,6869,5494,7073,4689,7127,5267,3226,1969,967,812,639,533,372,661,320,193
Burkina Faso,233,854,13,-2,11395,32063,38972,42491,35971,80454,87115,161653,183121,116965,144520,166717,133103,157188,256059,279959,192269,311091,398848,323579,299755,398353,413264,470604,621375,903245,799971,785769,833632,1029452,961431,924670,736912,918431,845121,1152750,1935570,1830935,1545391,1377604,1629991,2186529,2236538,2533573,3412586,3786409,1960024,3497480,2485278,2666954,2130152,3029786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,29,108,-3.5,30,59544,32266,31433,43688,41444,36057,53156,52439,50533,60322,63167,35079,31685,30646,26303,20582,34306,41293,38039,37608,43882,38692,31682,43444,47996,56655,56034,53719,51736,39494,52270,38887,64364,35418,33713,18963,17433,24385,19696,18973,23217,22897,24013,35567,35144,35166,24513,21431,19204,14485,15965,13802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
