name,CountryCode,id,lat,lon,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Bosnia and Herzegovina,80,70,44,18,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Botswana,20,72,-22,24,5.49,4.32,4.21,10.28,9.95,7.86,4.02,3.7,4.52,1.93,4.57,3.61,3.72,3.59,3.46,3.33,3.21,3.08,2.97,2.86,2.76,2.66,2.57,2.49,2.41,2.33,2.26,2.19,2.12,2.08,1.67,1.18,1.15,1.17,1.21,1.46,1.43,1.29,1.32,1.6,1.97,1.31,1.08,1.19,1.17,1.11,0.92,1.05,0.64,0.59,0.45,0.44
Brazil,21,76,-10,-55,16.37,20.35,17.77,17.83,15.47,18.13,18.24,21.01,21.63,19.53,20.99,18.28,21.14,17.79,15.5,10.93,16.24,13.11,13.34,13.35,13.47,14.7,11.9,14.43,20.36,16.14,11.44,17.01,11.94,12.32,13.12,11.71,6.94,8.23,8.6,5.57,4.73,6.64,7.89,11.06,14.34,11.58,11.63,19.83,18.92,14.79,20.77,19.94,14.38,14.51,24.72,23.99
British Virgin Islands,239,92,18.4206950,-64.6399680,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Brunei Darussalam,26,96,4.5352770,114.6667,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Bulgaria,27,100,43,25,2.71,6.1,4.93,5.29,4.64,8.29,6.67,3.7,4.81,4.24,4.68,5.75,4.39,4.29,3.62,0.38,1.49,1.8,1.98,1.32,1.43,2.25,1.91,1.62,1.58,2.02,2.21,1.45,1.45,0.89,2.05,0.99,0.58,0.8,1.67,1.42,1.09,0.88,1.19,0.78,1.21,1.06,0.53,0.33,0.16,0.14,0.11,0.09,0.06,0.12,0.06,0.03
Burkina Faso,233,854,13,-2,0.47,1.29,1.55,1.67,1.4,2.98,3.14,5.82,6.48,4.13,4.86,5.49,4.43,5.01,8.15,8.72,5.88,9.09,11.35,8.99,8.11,10.45,10.61,11.58,14.8,20.93,18,17.28,17.53,21.28,20.14,18.33,11.62,17.48,14.07,18.56,31.85,29.3,22.51,18.09,27.54,32.53,32.63,37.98,46.22,47.48,23.68,39.63,29.68,33.33,26.51,39.25
Burundi,29,108,-3.5,30,3.05,1.62,1.55,2.11,1.96,1.67,2.38,2.28,2.17,2.54,2.43,1.44,1.26,1.23,1.04,0.8,1.32,1.55,1.39,1.35,1.54,1.3,1.04,1.39,1.47,1.6,1.54,1.41,1.3,0.96,1.24,0.89,1.45,0.79,0.73,0.41,0.37,0.5,0.4,0.34,0.45,0.42,0.44,0.63,0.58,0.56,0.49,0.32,0.28,0.26,0.28,0.24
Cabo Verde,35,132,16.0020820,-24.0131970,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
Cambodia,115,116,13,105,4.68,0.6,0.58,0.85,0.93,0.82,1.18,1.19,1,0.3,0.02,0.02,0.02,0.01,0.01,0.26,0.69,0.5,0.05,0.04,0.09,0.09,0.04,0.08,0.12,0.37,0.18,0.04,0.03,0.03,0.03,0.03,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
