"name","CountryCode","id","lat","lon","1961 cotton_total","1962 cotton_total","1963 cotton_total","1964 cotton_total","1965 cotton_total","1966 cotton_total","1967 cotton_total","1968 cotton_total","1969 cotton_total","1970 cotton_total","1971 cotton_total","1972 cotton_total","1973 cotton_total","1974 cotton_total","1975 cotton_total","1976 cotton_total","1977 cotton_total","1978 cotton_total","1979 cotton_total","1980 cotton_total","1981 cotton_total","1982 cotton_total","1983 cotton_total","1984 cotton_total","1985 cotton_total","1986 cotton_total","1987 cotton_total","1988 cotton_total","1989 cotton_total","1990 cotton_total","1991 cotton_total","1992 cotton_total","1993 cotton_total","1994 cotton_total","1995 cotton_total","1996 cotton_total","1997 cotton_total","1998 cotton_total","1999 cotton_total","2000 cotton_total","2001 cotton_total","2002 cotton_total","2003 cotton_total","2004 cotton_total","2005 cotton_total","2006 cotton_total","2007 cotton_total","2008 cotton_total","2009 cotton_total","2010 cotton_total","2011 cotton_total","2012 cotton_total",,,"1961 cotton_pc","1962 cotton_pc","1963 cotton_pc","1964 cotton_pc","1965 cotton_pc","1966 cotton_pc","1967 cotton_pc","1968 cotton_pc","1969 cotton_pc","1970 cotton_pc","1971 cotton_pc","1972 cotton_pc","1973 cotton_pc","1974 cotton_pc","1975 cotton_pc","1976 cotton_pc","1977 cotton_pc","1978 cotton_pc","1979 cotton_pc","1980 cotton_pc","1981 cotton_pc","1982 cotton_pc","1983 cotton_pc","1984 cotton_pc","1985 cotton_pc","1986 cotton_pc","1987 cotton_pc","1988 cotton_pc","1989 cotton_pc","1990 cotton_pc","1991 cotton_pc","1992 cotton_pc","1993 cotton_pc","1994 cotton_pc","1995 cotton_pc","1996 cotton_pc","1997 cotton_pc","1998 cotton_pc","1999 cotton_pc","2000 cotton_pc","2001 cotton_pc","2002 cotton_pc","2003 cotton_pc","2004 cotton_pc","2005 cotton_pc","2006 cotton_pc","2007 cotton_pc","2008 cotton_pc","2009 cotton_pc","2010 cotton_pc","2011 cotton_pc","2012 cotton_pc",,,"1961 green_total","1962 green_total","1963 green_total","1964 green_total","1965 green_total","1966 green_total","1967 green_total","1968 green_total","1969 green_total","1970 green_total","1971 green_total","1972 green_total","1973 green_total","1974 green_total","1975 green_total","1976 green_total","1977 green_total","1978 green_total","1979 green_total","1980 green_total","1981 green_total","1982 green_total","1983 green_total","1984 green_total","1985 green_total","1986 green_total","1987 green_total","1988 green_total","1989 green_total","1990 green_total","1991 green_total","1992 green_total","1993 green_total","1994 green_total","1995 green_total","1996 green_total","1997 green_total","1998 green_total","1999 green_total","2000 green_total","2001 green_total","2002 green_total","2003 green_total","2004 green_total","2005 green_total","2006 green_total","2007 green_total","2008 green_total","2009 green_total","2010 green_total","2011 green_total","2012 green_total",,,,"1961 blue_total","1962 blue_total","1963 blue_total","1964 blue_total","1965 blue_total","1966 blue_total","1967 blue_total","1968 blue_total","1969 blue_total","1970 blue_total","1971 blue_total","1972 blue_total","1973 blue_total","1974 blue_total","1975 blue_total","1976 blue_total","1977 blue_total","1978 blue_total","1979 blue_total","1980 blue_total","1981 blue_total","1982 blue_total","1983 blue_total","1984 blue_total","1985 blue_total","1986 blue_total","1987 blue_total","1988 blue_total","1989 blue_total","1990 blue_total","1991 blue_total","1992 blue_total","1993 blue_total","1994 blue_total","1995 blue_total","1996 blue_total","1997 blue_total","1998 blue_total","1999 blue_total","2000 blue_total","2001 blue_total","2002 blue_total","2003 blue_total","2004 blue_total","2005 blue_total","2006 blue_total","2007 blue_total","2008 blue_total","2009 blue_total","2010 blue_total","2011 blue_total","2012 blue_total",,,,"1961 green_pc","1962 green_pc","1963 green_pc","1964 green_pc","1965 green_pc","1966 green_pc","1967 green_pc","1968 green_pc","1969 green_pc","1970 green_pc","1971 green_pc","1972 green_pc","1973 green_pc","1974 green_pc","1975 green_pc","1976 green_pc","1977 green_pc","1978 green_pc","1979 green_pc","1980 green_pc","1981 green_pc","1982 green_pc","1983 green_pc","1984 green_pc","1985 green_pc","1986 green_pc","1987 green_pc","1988 green_pc","1989 green_pc","1990 green_pc","1991 green_pc","1992 green_pc","1993 green_pc","1994 green_pc","1995 green_pc","1996 green_pc","1997 green_pc","1998 green_pc","1999 green_pc","2000 green_pc","2001 green_pc","2002 green_pc","2003 green_pc","2004 green_pc","2005 green_pc","2006 green_pc","2007 green_pc","2008 green_pc","2009 green_pc","2010 green_pc","2011 green_pc","2012 green_pc",,,,"1961 blue_pc","1962 blue_pc","1963 blue_pc","1964 blue_pc","1965 blue_pc","1966 blue_pc","1967 blue_pc","1968 blue_pc","1969 blue_pc","1970 blue_pc","1971 blue_pc","1972 blue_pc","1973 blue_pc","1974 blue_pc","1975 blue_pc","1976 blue_pc","1977 blue_pc","1978 blue_pc","1979 blue_pc","1980 blue_pc","1981 blue_pc","1982 blue_pc","1983 blue_pc","1984 blue_pc","1985 blue_pc","1986 blue_pc","1987 blue_pc","1988 blue_pc","1989 blue_pc","1990 blue_pc","1991 blue_pc","1992 blue_pc","1993 blue_pc","1994 blue_pc","1995 blue_pc","1996 blue_pc","1997 blue_pc","1998 blue_pc","1999 blue_pc","2000 blue_pc","2001 blue_pc","2002 blue_pc","2003 blue_pc","2004 blue_pc","2005 blue_pc","2006 blue_pc","2007 blue_pc","2008 blue_pc","2009 blue_pc","2010 blue_pc","2011 blue_pc","2012 blue_pc",,,,"1961 water_pc","1962 water_pc","1963 water_pc","1964 water_pc","1965 water_pc","1966 water_pc","1967 water_pc","1968 water_pc","1969 water_pc","1970 water_pc","1971 water_pc","1972 water_pc","1973 water_pc","1974 water_pc","1975 water_pc","1976 water_pc","1977 water_pc","1978 water_pc","1979 water_pc","1980 water_pc","1981 water_pc","1982 water_pc","1983 water_pc","1984 water_pc","1985 water_pc","1986 water_pc","1987 water_pc","1988 water_pc","1989 water_pc","1990 water_pc","1991 water_pc","1992 water_pc","1993 water_pc","1994 water_pc","1995 water_pc","1996 water_pc","1997 water_pc","1998 water_pc","1999 water_pc","2000 water_pc","2001 water_pc","2002 water_pc","2003 water_pc","2004 water_pc","2005 water_pc","2006 water_pc","2007 water_pc","2008 water_pc","2009 water_pc","2010 water_pc","2011 water_pc","2012 water_pc"
"Iran (Islamic Republic of)",102,364,32,53,323828,262200,348975,339758,425429,321709,328569,455405,464890,441292,404553,543000,543106,630000,402000,442000,478000,372000,265000,172000,217000,295000,257000,315000,294000,321000,310300,344000,351000,381000,365000,299068,255021,355077,478957,541000,387000,392000,405000,450000,377000,316000,324000,386000,333000,246800,281000,269000,230600,212000,215400,187000,,,14.369,11.336,14.699,13.94,17.001,12.519,12.449,16.797,16.692,15.426,13.769,17.99,17.505,19.738,12.227,13.038,13.66,10.284,7.073,4.423,5.366,7.007,5.86,6.897,6.185,6.493,6.04,6.46,6.389,6.76,6.351,5.129,4.324,5.951,7.921,8.805,6.188,6.153,6.244,6.827,5.639,4.666,4.727,5.567,4.747,3.477,3.913,3.702,3.136,2.847,2.856,2.447,,,76714.076,62114.563,82671.303,80487.724,100783.057,76211.994,77837.111,110018.687,109619.125,102607.407,97213.97,134496.192,130964.856,151487.239,93183.041,103875.955,116503.691,88189.887,64731.446,38760.692,51630.924,64792.474,60530.338,74398.494,70096.211,74410.7,71347.456,78418.135,78058.729,82603.507,80926.917,68243.373,59930.048,82407.069,110748.278,120443.038,91134.839,93760.532,93861.707,106283.563,87228.579,73130.132,75537.74,89712.951,77125.362,59298.975,65062.911,61899.874,52943.932,48556.856,49445.577,44395.895,,,,1346133.445,1089949.784,1450667.357,1412351.19,1768481.753,1337323.211,1365839.793,1930543.15,1923531.873,1800494.375,1705853.519,2360060,2298094.198,2658208.886,1635121.15,1822754.112,2044338.182,1547504.224,1135869.304,680149.809,905989.056,1136940.192,1062150.732,1305500.978,1230007.051,1305715.155,1251963.149,1376035.26,1369728.616,1449477.72,1420057.901,1197494.538,1051617.198,1446030.729,1943345.58,2113463.53,1599180.508,1645254.616,1647029.971,1865001.397,1530635.759,1283244.513,1325491.798,1574230.044,1353350.44,1040543.512,1141685.658,1086182.552,929028.947,852047.127,867641.877,779033.023,,,,3.404,2.685,3.482,3.302,4.027,2.966,2.949,4.058,3.936,3.587,3.309,4.456,4.221,4.746,2.834,3.064,3.329,2.438,1.728,0.997,1.277,1.539,1.38,1.629,1.475,1.505,1.389,1.473,1.421,1.466,1.408,1.17,1.016,1.381,1.832,1.96,1.457,1.472,1.447,1.613,1.305,1.08,1.102,1.294,1.099,0.835,0.906,0.852,0.72,0.652,0.656,0.581,,,,59.733,47.123,61.101,57.947,70.671,52.042,51.748,71.204,69.065,62.939,58.058,78.189,74.072,83.282,49.733,53.767,58.423,42.782,30.317,17.489,22.403,27.006,24.221,28.584,25.877,26.41,24.368,25.841,24.932,25.717,24.709,20.538,17.829,24.237,32.138,34.398,25.569,25.823,25.394,28.296,22.894,18.947,19.338,22.702,19.292,14.66,15.899,14.949,12.632,11.443,11.504,10.194,,,,5914,5914,5767.2,5620.4,5473.6,5326.8,5180,5051.4,4922.8,4794.2,4665.6,4537,4415.8,4294.6,4173.4,4052.2,3931,3804.6,3678.2,3551.8,3425.4,3299,3186.6,3074.2,2961.8,2849.4,2737,2669.8,2602.6,2535.4,2468.2,2401,2363,2325,2287,2249,2211,2176.4,2141.8,2107.2,2072.6,2038,2014,1990,1966,1942,1918,1896.8,1875.6,1854.4,1833.2,1812
"Iraq",103,368,33,44,23240,24243,14168,28085,29809,27397,33872,38794,42122,45902,42240,50800,45310,40200,38600,33890,26050,13935,16800,14900,13200,14000,11800,10650,10800,19760,21295,18300,21595,27700,11300,8000,34000,29000,18000,27000,48000,69000,79000,33000,65000,92000,41500,37000,29000,25000,28800,11500,23800,44800,34400,35400,,,3.109,3.159,1.796,3.458,3.559,3.167,3.786,4.189,4.394,4.628,4.119,4.792,4.138,3.554,3.303,2.808,2.091,1.084,1.267,1.091,0.94,0.97,0.796,0.701,0.693,1.24,1.306,1.098,1.265,1.581,0.627,0.431,1.778,1.47,0.884,1.285,2.213,3.082,3.421,1.386,2.651,3.645,1.599,1.387,1.059,0.891,1.002,0.391,0.789,1.447,1.081,1.08,,,14656.17,15255.027,9076.564,18054.324,18874.872,17304.652,21457.759,24796.835,26206.224,28613.116,26330.021,30512.729,28499.017,25429.044,24225.782,21858.154,16258.684,9001.335,10719.263,9328.998,8228.132,8644.441,7314.268,6638.606,6732.108,12531.413,13269.977,11407.182,13456.98,17472.522,7134.381,5052.638,21189.554,18118.138,11220.18,16830.269,29920.479,43010.688,48832.296,20570.329,41855.747,59241.981,26692.398,22651.877,18674.103,16098.364,18446.478,7374.361,15288.579,28749.431,22101.93,22807.639,,,,114511.719,119190.709,70917.089,141062.205,147473.315,135204.86,167653.946,193742.85,204754.698,223560.249,205721.951,238402.32,222668.767,198682.425,189281.089,170782.317,127032.494,70329.312,83751.837,72889.407,64288.11,67540.823,57147.906,51868.816,52599.362,97910.544,103681.103,89126.698,105142.197,136516.463,55742.407,39477.319,165558.409,141560.797,87665.604,131498.406,233774.944,336051.483,381536.919,160720.274,327027.688,462869.958,208553.275,176983.843,145904.661,125779.88,144126.179,57617.419,119452.855,224625.302,172686.993,178200.84,,,,1.961,1.988,1.151,2.223,2.253,2,2.398,2.678,2.734,2.885,2.567,2.879,2.602,2.248,2.073,1.811,1.305,0.7,0.809,0.683,0.586,0.599,0.493,0.437,0.432,0.786,0.814,0.684,0.788,0.997,0.396,0.272,1.108,0.918,0.551,0.801,1.379,1.921,2.115,0.864,1.707,2.347,1.028,0.849,0.682,0.574,0.642,0.251,0.507,0.929,0.694,0.696,,,,15.319,15.532,8.989,17.368,17.607,15.629,18.739,20.92,21.36,22.541,20.059,22.491,20.333,17.564,16.199,14.152,10.194,5.469,6.317,5.339,4.577,4.679,3.855,3.412,3.377,6.142,6.36,5.346,6.158,7.793,3.095,2.129,8.657,7.174,4.305,6.257,10.776,15.011,16.523,6.753,13.339,18.34,8.034,6.635,5.329,4.482,5.015,1.958,3.96,7.255,5.424,5.437,,,,11561,11561,11233.6,10906.2,10578.8,10251.4,9924,9618.8,9313.6,9008.4,8703.2,8398,8148.2,7898.4,7648.6,7398.8,7149,6962.2,6775.4,6588.6,6401.8,6215,6083.8,5952.6,5821.4,5690.2,5559,5423,5287,5151,5015,4879,4731.8,4584.6,4437.4,4290.2,4143,4026.6,3910.2,3793.8,3677.4,3561,3469.4,3377.8,3286.2,3194.6,3103,3015.6,2928.2,2840.8,2753.4,2666
"Ireland",104,372,53,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18342,18342,18259.8,18177.6,18095.4,18013.2,17931,17767,17603,17439,17275,17111,16855.6,16600.2,16344.8,16089.4,15834,15654,15474,15294,15114,14934,14887.6,14841.2,14794.8,14748.4,14702,14692,14682,14672,14662,14652,14555.4,14458.8,14362.2,14265.6,14169,13977.4,13785.8,13594.2,13402.6,13211,12992.4,12773.8,12555.2,12336.6,12118,11965.6,11813.2,11660.8,11508.4,11356
"Israel",105,376,31.046051,34.851612,37900,41670,35500,40200,56900,65100,76500,85900,100200,93900,95700,105300,97400,133800,130800,140700,172000,211800,199300,207100,251500,232000,245800,224100,262400,184900,156900,165900,122100,134000,57245,76855,73450,86400,113168,147475,139600,131600,64350,43800,53500,48400,45500,64200,46900,55700,47500,22900,18800,18100,42000,32000,,,17.433,18.405,15.068,16.455,22.553,25.116,28.835,31.686,36.108,32.947,32.584,34.707,31.049,41.296,39.197,41.044,48.947,58.932,54.29,55.3,65.924,59.732,62.228,55.802,64.266,44.565,37.215,38.662,27.858,29.784,12.332,15.988,14.731,16.731,21.224,26.882,24.796,22.831,10.923,7.283,8.728,7.758,7.166,9.926,7.102,8.241,6.854,3.222,2.585,2.439,5.569,4.186,,,11772.495,13015.132,10925.039,12666.438,17523.319,20217.805,23331.76,26758.468,31609.241,28816.759,29774.868,32715.973,30330.745,40781.31,39932.327,43631.409,52414.343,64761.921,61317.975,63693.6,77324.255,71469.327,75599.007,70654.616,80726.735,56457.599,48272.006,51043.314,37582.457,41697.954,17416.224,23621.059,22029.256,25852.954,34845.723,42767.571,43413.598,40850.498,20061.649,13180.408,17645.543,15192.654,14521.544,20187.469,14824.252,17408.085,14937.959,7191.041,5787.708,5720.489,13568.457,11486.379,,,,42814.602,47333.865,39732.546,46065.724,63729.391,73528.787,84853.723,97316.089,114957.544,104801.752,108286.234,118982.542,110307.866,148314.83,145227.22,158680.165,190622.234,235528.315,223003.26,231643.012,281215.431,259922.034,274940.994,256959.066,293589.686,205326.881,175557.244,185636.03,136681.133,151648.511,63339.904,85905.855,80116.735,94022.885,126728.09,155538.53,157888.024,148566.455,72960.874,47934.949,64173.9,55253.151,52812.435,73418.463,53913.336,63310.306,54326.868,26152.619,21048.931,20804.465,49346.217,41774.048,,,,5.415,5.749,4.637,5.185,6.945,7.8,8.794,9.87,11.391,10.111,10.138,10.783,9.669,12.587,11.967,12.728,14.916,18.019,16.703,17.008,20.268,18.401,19.139,17.593,19.771,13.608,11.45,11.895,8.575,9.268,3.752,4.914,4.418,5.006,6.535,7.796,7.711,7.087,3.405,2.192,2.879,2.435,2.287,3.121,2.245,2.576,2.156,1.012,0.796,0.771,1.799,1.503,,,,19.694,20.907,16.864,18.856,25.259,28.368,31.984,35.897,41.426,36.773,36.87,39.216,35.163,45.776,43.52,46.289,54.247,65.534,60.747,61.854,73.713,66.921,69.605,63.984,71.905,49.488,41.641,43.262,31.184,33.707,13.645,17.871,16.068,18.207,23.767,28.352,28.044,25.775,12.385,7.971,10.469,8.856,8.318,11.351,8.164,9.367,7.839,3.68,2.894,2.804,6.543,5.465,,,,786.2,786.2,763.1,740.1,717,694,670.9,654.1,637.2,620.4,603.5,586.7,570.7,554.6,538.6,522.5,506.5,496.8,487.2,477.5,467.9,458.2,451,443.8,436.6,429.4,422.2,411.8,401.4,391,380.6,370.2,359.4,348.6,337.7,326.9,316.1,309.9,303.7,297.6,291.4,285.2,279.6,274,268.4,262.8,257.2,252,246.8,241.7,236.5,231.3
"Italy",106,380,41.87194,12.56738,13900,10440,14100,12830,11780,6830,6330,4460,4600,2699,3100,2195,2101,2428,1738,1620,1530,1060,990,1220,240,160,30,20,50,60,113,110,100,100,,,,,,,,,,,,,,,,,,,,,,,,,0.279,0.208,0.278,0.251,0.229,0.132,0.121,0.085,0.087,0.051,0.058,0.041,0.039,0.044,0.032,0.029,0.028,0.019,0.018,0.022,0.004,0.003,0.001,,0.001,0.001,0.002,0.002,0.002,0.002,,,,,,,,,,,,,,,,,,,,,,,,,5923.659,4419.687,5957.739,5443.596,4996.985,2919.042,2722.143,1959.396,2047.19,1191.767,1417.977,982.786,947.279,1054.342,790.017,683.556,671.686,478.744,430.995,538.362,93.279,67.321,11.66,8.8,22.001,26.401,49.568,48.402,44.002,44.002,,,,,,,,,,,,,,,,,,,,,,,,,,32014.931,23886.581,32199.12,29420.39,27006.639,15776.215,14712.059,10589.729,11064.218,6441.008,7663.582,5311.55,5119.649,5698.285,4269.717,3694.336,3630.186,2587.413,2329.351,2909.624,504.134,363.845,63.017,47.562,118.906,142.687,267.894,261.592,237.811,237.811,,,,,,,,,,,,,,,,,,,,,,,,,,0.119,0.088,0.118,0.107,0.097,0.056,0.052,0.037,0.039,0.022,0.026,0.018,0.017,0.019,0.014,0.012,0.012,0.009,0.008,0.01,0.002,0.001,,,,,0.001,0.001,0.001,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,0.642,0.475,0.636,0.576,0.525,0.304,0.282,0.201,0.209,0.121,0.143,0.098,0.094,0.104,0.077,0.067,0.065,0.046,0.042,0.052,0.009,0.006,0.001,0.001,0.002,0.003,0.005,0.005,0.004,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,3807,3807,3778.4,3749.8,3721.2,3692.6,3664,3638.8,3613.6,3588.4,3563.2,3538,3518.2,3498.4,3478.6,3458.8,3439,3428.2,3417.4,3406.6,3395.8,3385,3381.4,3377.8,3374.2,3370.6,3367,3366,3365,3364,3363,3362,3362.2,3362.4,3362.6,3362.8,3363,3355.8,3348.6,3341.4,3334.2,3327,3304.6,3282.2,3259.8,3237.4,3215,3199.6,3184.2,3168.8,3153.4,3138
"Jamaica",109,388,18.25,-77.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5601,5601,5523.4,5445.8,5368.2,5290.6,5213,5147.4,5081.8,5016.2,4950.6,4885,4821.4,4757.8,4694.2,4630.6,4567,4508.6,4450.2,4391.8,4333.4,4275,4226.8,4178.6,4130.4,4082.2,4034,4011.6,3989.2,3966.8,3944.4,3922,3887.2,3852.4,3817.6,3782.8,3748,3714.6,3681.2,3647.8,3614.4,3581,3559,3537,3515,3493,3471,3458,3445,3432,3419,3406
"Japan",110,392,36,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4562,4562,4512,4462,4412,4362,4312,4256.2,4200.4,4144.6,4088.8,4033,3987,3941,3895,3849,3803,3773,3743,3713,3683,3653,3633,3613,3593,3573,3553,3540.6,3528.2,3515.8,3503.4,3491,3480.2,3469.4,3458.6,3447.8,3437,3431.8,3426.6,3421.4,3416.2,3411,3408.6,3406.2,3403.8,3401.4,3399,3399.4,3399.8,3400.2,3400.6,3401
"Jordan",112,400,31,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,965,965,912.8,860.6,808.4,756.2,704,665.9,627.8,589.6,551.5,513.4,499.6,485.8,471.9,458.1,444.3,431,417.7,404.4,391.1,377.8,364.4,350.9,337.5,324,310.6,297.7,284.8,272,259.1,246.2,237.6,229.1,220.5,212,203.4,200.2,197,193.9,190.7,187.5,183.1,178.6,174.2,169.7,165.3,161.3,157.2,153.2,149.1,145.1
"Kazakhstan",108,398,48,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217000,172000,179256,198933,176487,182347,159452,204740,267723,352741,288369,342638,397070,412270,384018,351471,288348,242062,224452,295800,349900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.503,10.797,11.381,12.793,11.516,12.087,10.732,13.947,18.367,24.228,19.72,23.233,26.645,27.368,25.22,22.829,18.522,15.375,14.098,18.375,21.505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234508.857,185381.346,213222.121,213524.242,227360.767,203036.048,186031.573,210967.117,292844.186,358819.739,289612.435,396472.011,431188.816,470157.074,436812.513,353664.477,337229.572,287053.014,271250.213,335007.429,396068.451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396366.502,313331.26,360387.695,360898.34,384284.812,343171.21,314430.273,356576.29,494964.785,606476.56,489502.484,670116.373,728794.662,794658.749,738299.825,597763.144,569984.894,485176.554,458466.686,566229.031,669434.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.593,11.637,13.537,13.731,14.835,13.459,12.521,14.371,20.091,24.646,19.805,26.883,28.935,31.211,28.687,22.971,21.662,18.233,17.037,20.81,24.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.665,19.669,22.88,23.209,25.074,22.748,21.162,24.29,33.958,41.656,33.475,45.438,48.906,52.752,48.486,38.826,36.613,30.817,28.796,35.174,41.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1308.6,2617.2,3925.8,5234.4,6543,6622.8,6702.6,6782.4,6862.2,6942,6996.4,7050.8,7105.2,7159.6,7214,7160.4,7106.8,7053.2,6999.6,6946,6869.2,6792.4,6715.6,6638.8,6562
"Kenya",114,404,1,38,8841,5071,8637,9550,13306,13410,12420,14225,16939,13877,16596,16810,16005,14874,15959,15615,20500,26915,27321,37747,25232,24114,25542,22572,37620,27100,23326,18810,27720,27040,30080,16650,16165,18100,24200,32900,21900,23000,23300,19600,24000,19600,19600,19600,19600,22000,24500,14800,14600,11700,21600,11400,,,1.057,0.588,0.97,1.038,1.4,1.365,1.223,1.355,1.559,1.233,1.424,1.391,1.277,1.144,1.183,1.116,1.411,1.785,1.745,2.32,1.493,1.373,1.4,1.192,1.914,1.329,1.104,0.859,1.223,1.153,1.241,0.665,0.626,0.68,0.883,1.167,0.757,0.774,0.764,0.626,0.747,0.594,0.578,0.563,0.548,0.599,0.649,0.382,0.367,0.286,0.514,0.264,,,56808.073,32500.42,53694.745,62338.016,83969.238,82820.012,78265.949,93433.787,111359.201,91237.114,109108.53,110511.105,105262.158,97787.435,104924.988,102789.361,135122.418,176927.913,179618.832,248159.049,165889.281,158534.772,167922.997,148397.067,247328.445,177731.541,151277.957,123664.223,182242.012,177597.689,197410.085,109463.546,105970.923,118562.057,158231.467,216731.689,143979.079,151645.256,153617.572,129726.691,157785.292,129726.691,129726.691,129726.691,129726.691,145505.22,162158.364,98169.633,96420.404,76920.33,142006.763,74948.014,,,,2696.749,1542.835,2548.956,2959.263,3986.124,3931.568,3715.381,4435.417,5286.359,4331.139,5179.517,5246.099,4996.925,4642.09,4980.919,4879.538,6414.428,8398.987,8526.728,11780.417,7874.969,7525.842,7971.512,7044.592,11740.987,8437.136,7181.352,5870.493,8651.254,8430.782,9371.301,5196.37,5030.571,5628.287,7511.443,10288.521,6834.865,7198.788,7292.416,6158.286,7490.263,6158.286,6158.286,6158.286,6158.286,6907.313,7697.858,4660.234,4577.196,3651.503,6741.237,3557.875,,,,6.794,3.766,6.028,6.776,8.834,8.431,7.708,8.897,10.247,8.109,9.36,9.146,8.401,7.524,7.78,7.344,9.301,11.731,11.469,15.254,9.815,9.028,9.206,7.834,12.58,8.716,7.157,5.648,8.04,7.575,8.145,4.372,4.101,4.451,5.771,7.689,4.974,5.106,5.04,4.147,4.911,3.931,3.826,3.724,3.625,3.959,4.295,2.532,2.421,1.88,3.379,1.736,,,,0.323,0.179,0.286,0.322,0.419,0.4,0.366,0.422,0.486,0.385,0.444,0.434,0.399,0.357,0.369,0.349,0.442,0.557,0.544,0.724,0.466,0.429,0.437,0.372,0.597,0.414,0.34,0.268,0.382,0.36,0.387,0.208,0.195,0.211,0.274,0.365,0.236,0.242,0.239,0.197,0.233,0.187,0.182,0.177,0.172,0.188,0.204,0.12,0.115,0.089,0.16,0.082,,,,3558,3558,3451,3344,3237,3130,3023,2926.6,2830.2,2733.8,2637.4,2541,2455.4,2369.8,2284.2,2198.6,2113,2040.2,1967.4,1894.6,1821.8,1749,1689.8,1630.6,1571.4,1512.2,1453,1407.6,1362.2,1316.8,1271.4,1226,1193,1160,1127,1094,1061,1035.3,1009.5,983.8,958,932.3,909.6,887,864.3,841.7,819,798.8,778.6,758.5,738.3,718.1
"Kiribati",83,296,-3.370417,-168.734039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
